#Peak name;#Line name;#Position (eV);#Strength;#Fit position?;#Fit peak?
Elastic;El;8000.;1.;no;yes
Compton;Co;7840.;1.;no;yes
EscEl;EscEl;6260;1.;no;yes
Ar;KM3;3190.2;0.418125;no;yes
Ar;KM2;3190.1;0.212573;no;yes
Ar;KL3;2957.4;4.111532;no;yes
Ar;KL2;2955.3;2.073179;no;yes
Cl;KM3;2815.6;0.253078;no;yes
Cl;KM2;2815.6;0.128249;no;yes
Cl;KL3;2622.4;3.138178;no;yes
Cl;KL2;2620.8;1.585963;no;yes
Ca;KM3;4012.7;1.048779;no;yes
Ca;KM2;4012.7;0.524390;no;yes
Ca;KL3;3691.7;8.313568;no;yes
Ca;KL2;3688.1;4.205968;no;yes
Mn;KM3;6490.4;3.358028;no;yes
Mn;KM2;6490.4;1.703447;no;yes
Mn;KL3;5898.7;25.039897;no;yes
Mn;KL2;5887.6;12.763421;no;yes
Fe;KM3;7058.0;4.156828;no;yes
Fe;KM2;7058.0;2.110161;no;yes
Fe;KL3;6403.9;30.878308;no;yes
Fe;KL2;6390.9;15.767478;no;yes
Cd;L3N5;3528.2;0.533560;no;yes
Cd;L3N4;3528.2;0.060370;no;yes
Cd;L3N1;3429.9;0.042685;no;yes
Cd;L3M5;3133.8;5.295547;no;yes
Cd;L3M4;3127.0;0.597186;no;yes
Cd;L3M1;2767.3;0.219937;no;yes
Cd;L2N4;3717.7;0.267706;no;yes
Cd;L2N1;3619.4;0.014945;no;yes
Cd;L2M4;3316.5;2.599636;no;yes
Cd;L2M1;2956.8;0.076187;no;yes
Cd;L1N3;3951.1;0.087250;no;yes
Cd;L1N2;3951.1;0.052243;no;yes
Cd;L1M3;3401.5;0.468175;no;yes
Cd;L1M2;3367.3;0.283244;no;yes
X;X;3950.;1;yes;yes
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
